Rank,Player,Age,Tm,First,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG_pct,X3P_pct,FT_pct,WS,WS48,WinPct,pra,Fitted,SeasonID,WinPct_Rounded,PositiveMedia,NegativeMedia,Media
1,Shai Gilgeous-Alexander,27,OKC,83,939,1000,0.939,68,33.2,31.1,4.3,6.6,1.4,0.8,0.553,0.386,0.879,15.2,0.323,0.78049,42,0,2026,8,0,0,0
2,Nikola Jokić,30,DEN,10,634,1000,0.634,65,34.8,27.7,12.9,10.7,1.4,0.8,0.569,0.38,0.831,14.9,0.316,0.65854,51.3,0,2026,7,0,0,0
3,Victor Wembanyama,22,SAS,5,569,1000,0.569,64,29.2,25,11.5,3.1,1,3.1,0.512,0.349,0.827,10,0.257,0.7561,39.6,0,2026,8,0,0,0
1,Shai Gilgeous-Alexander,26,OKC,71,913,1000,0.913,76,34.2,32.7,5,6.4,1.7,1,0.519,0.375,0.898,16.7,0.309,0.82927,44.1,0,2025,8,0,0,0
2,Nikola Jokić,29,DEN,29,787,1000,0.787,70,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417,0.8,16.4,0.307,0.60976,52.5,0,2025,6,0,0,0
3,Giannis Antetokounmpo,30,MIL,0,470,1000,0.47,67,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617,11.5,0.241,0.58537,48.8,0,2025,6,0,0,0
1,Nikola Jokić,28,DEN,79,926,990,0.935,79,34.6,26.4,12.4,9,1.4,0.9,0.583,0.359,0.817,17,0.299,0.69512,47.8,0,2024,7,0,0,0
2,Shai Gilgeous-Alexander,25,OKC,15,640,990,0.646,75,34,30.1,5.5,6.2,2,0.9,0.535,0.353,0.874,14.6,0.275,0.69512,41.8,0,2024,7,0,0,0
3,Luka Dončić,24,DAL,4,566,990,0.572,70,37.5,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,12,0.22,0.60976,52.9,0,2024,6,0,0,0
1,Joel Embiid,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259,0.65854,47.5,0,2023,7,1,0,1
2,Nikola Jokić,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308,0.64634,46.1,0,2023,6,0,1,-1
3,Giannis Antetokounmpo,28,MIL,12,606,1000,0.606,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204,0.70732,48.6,0,2023,7,0,0,0
1,Nikola Jokić,26,DEN,65,875,1000,0.875,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,0.65278,48.8,0,2022,7,0,0,0
2,Joel Embiid,27,PHI,26,706,1000,0.706,68,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12,0.252,0.68056,46.5,0,2022,7,0,0,0
3,Giannis Antetokounmpo,27,MIL,9,595,1000,0.595,67,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,0.63889,47.3,0,2022,6,0,0,0
1,Nikola Jokić,25,DEN,91,971,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,0.65278,45.5,0,2021,7,0,0,0
2,Joel Embiid,26,PHI,1,586,1010,0.58,51,31.1,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,8.8,0.266,0.68056,41.9,0,2021,7,0,0,0
3,Stephen Curry,32,GSW,5,453,1010,0.449,63,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9,0.201,0.54167,43.3,0,2021,5,0,1,-1
1,Giannis Antetokounmpo,25,MIL,85,962,1010,0.952,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279,0.76712,48.7,0,2020,8,0,0,0
2,LeBron James,35,LAL,16,753,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,0.73239,43.3,0,2020,7,0,0,0
