Rank,Player,Age,Tm,First,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG_pct,X3P_pct,FT_pct,WS,WS48,MVP_last3,MVP_career,WinPct,PrevWinPct,NonWinsLast3,ChampionshipsLast3Yrs,pra,Fitted,SeasonID,WinPct_Rounded,PRA_Z,WS48_Z,HistoricScore,PositiveMedia,NegativeMedia,Media
1,Shai Gilgeous-Alexander,27,OKC,83,939,1000,0.939,68,33.2,31.1,4.3,6.6,1.4,0.8,0.553,0.386,0.879,15.2,0.323,1,1,0.78049,0.82927,1,1,42,197.4568148,1,8,-0.3721799788,0.6711952034,0.2990152246,0,0,0
2,Nikola Jokić,30,DEN,10,634,1000,0.634,65,34.8,27.7,12.9,10.7,1.4,0.8,0.569,0.38,0.831,14.9,0.316,1,3,0.65854,0.60976,2,1,51.3,160.0496634,1,7,1.132721675,0.4781116518,1.610833326,0,0,0
3,Victor Wembanyama,22,SAS,5,569,1000,0.569,64,29.2,25,11.5,3.1,1,3.1,0.512,0.349,0.827,10,0.257,0,0,0.7561,0.41463,0,0,39.6,207.1102733,1,8,-0.7605416958,-1.149306855,-1.909848551,0,0,0
1,Shai Gilgeous-Alexander,26,OKC,71,913,1000,0.913,76,34.2,32.7,5,6.4,1.7,1,0.519,0.375,0.898,16.7,0.309,0,0,0.82927,0.69512,1,0,44.1,189.0100387,2,8,-1.037235418,0.6030003148,-0.4342351035,0,0,0
2,Nikola Jokić,29,DEN,29,787,1000,0.787,70,36.7,29.6,12.7,10.2,1.8,0.6,0.576,0.417,0.8,16.4,0.307,2,3,0.60976,0.69512,1,1,52.5,155.2229341,2,6,0.9580571421,0.5513145735,1.509371716,0,0,0
3,Giannis Antetokounmpo,30,MIL,0,470,1000,0.47,67,34.2,30.4,11.9,6.5,0.9,1.2,0.601,0.222,0.617,11.5,0.241,0,2,0.58537,0.59756,2,0,48.8,246.0024853,2,6,0.07917827621,-1.154314888,-1.075136612,0,0,0
1,Nikola Jokić,28,DEN,79,926,990,0.935,79,34.6,26.4,12.4,9,1.4,0.9,0.583,0.359,0.817,17,0.299,2,2,0.69512,0.64634,1,1,47.8,174.1276236,3,7,0.05399492472,0.8477150916,0.9017100163,0,0,0
2,Shai Gilgeous-Alexander,25,OKC,15,640,990,0.646,75,34,30.1,5.5,6.2,2,0.9,0.535,0.353,0.874,14.6,0.275,0,0,0.69512,0.4878,0,0,41.8,198.2612697,3,7,-1.02590357,0.2551375518,-0.7707660178,0,0,0
3,Luka Dončić,24,DAL,4,566,990,0.572,70,37.5,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,12,0.22,0,0,0.60976,0.46341,0,0,52.9,153.6140244,3,6,0.9719086449,-1.102852643,-0.1309439986,0,0,0
1,Joel Embiid,28,PHI,73,915,1000,0.915,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259,0,0,0.65854,0.62195,2,0,47.5,175.3343059,4,7,0.07980868845,0.03844022029,0.1182489087,1,0,1
2,Nikola Jokić,27,DEN,15,674,1000,0.674,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308,2,2,0.64634,0.58537,0,0,46.1,180.96549,4,6,-1.03751295,0.9802256173,-0.05728733251,0,1,-1
